item_id,byproducts
Base.OpenBeans,Base.TinCanEmpty
Base.CannedCarrotsOpen,Base.TinCanEmpty
Base.CannedChiliOpen,Base.TinCanEmpty
Base.CannedCornOpen,Base.TinCanEmpty
Base.CannedCornedBeefOpen,Base.TinCanEmpty
Base.DogfoodOpen,Base.TinCanEmpty
Base.CannedMilkOpen,Base.TinCanEmpty
Base.CannedFruitBeverageOpen,Base.TinCanEmpty
Base.CannedFruitCocktailOpen,Base.TinCanEmpty
Base.CannedMushroomSoupOpen,Base.TinCanEmpty
Base.CannedPeachesOpen,Base.TinCanEmpty
Base.CannedPeasOpen,Base.TinCanEmpty
Base.CannedPineappleOpen,Base.TinCanEmpty
Base.CannedPotatoOpen,Base.TinCanEmpty
Base.CannedSardinesOpen,Base.TinCanEmpty
Base.CannedBologneseOpen,Base.TinCanEmpty
Base.CannedTomatoOpen,Base.TinCanEmpty
Base.TunaTinOpen,Base.TinCanEmpty
Base.TinnedSoupOpen,Base.TinCanEmpty
filcher.CannedHamOpen,Base.TinCanEmpty
filcher.CannedSoupOpen,Base.TinCanEmpty
filcher.OpenCannedSpagetti,Base.TinCanEmpty
filcher.OpenCannedSpinach,Base.TinCanEmpty
filcher.SFCatfoodOpen,Base.TinCanEmpty
Base.CannedBellPepper_Open,Base.EmptyJar
Base.CannedBroccoli_Open,Base.EmptyJar
Base.CannedCabbage_Open,Base.EmptyJar
Base.CannedCarrots_Open,Base.EmptyJar
Base.CannedEggplant_Open,Base.EmptyJar
Base.CannedLeek_Open,Base.EmptyJar
Base.CannedPotato_Open,Base.EmptyJar
Base.CannedRedRadish_Open,Base.EmptyJar
Base.CannedTomato_Open,Base.EmptyJar
Base.CannedRoe_Open,Base.EmptyJar
filcher.SFChocolateWaferSticksJarOpen,Base.EmptyJar
filcher.SFPickles,Base.EmptyJar
filcher.SFJelly,Base.EmptyJar
filcher.SFTomatoSauce,Base.EmptyJar
Base.OilOlive,Base.EmptyBottle
Base.OilVegetable,Base.EmptyBottle
Base.SesameOil,Base.EmptyBottle
Base.Vinegar,Base.EmptyBottle
Base.RiceVinegar,Base.EmptyBottle
Base.Flour2,Base.EmptySandbag
Base.Cornmeal2,Base.EmptySandbag
Base.Cornflour2,Base.EmptySandbag
Base.Blackbeans,
Base.DriedBlackBeans,
Base.DriedChickpeas,
Base.DriedKidneyBeans,
Base.DriedLentils,
Base.DriedSplitPeas,
Base.DriedWhiteBeans,
Base.SoybeansSeed,
Base.Soybeans,
Base.Salt,
Base.SeasoningSalt,
Base.Sugar,
Base.SugarBrown,
Base.SugarPacket,
Base.SugarCubes,
Base.Honey,
Base.MapleSyrup,
Base.PowderedGarlic,
Base.PowderedOnion,
Base.Pepper,
Base.CornFrozen,
Base.Peas,
Base.MixedVegetables,
Base.Seasoning_Basil,
Base.Seasoning_Chives,
Base.Seasoning_Cilantro,
Base.Seasoning_Oregano,
Base.Seasoning_Parsley,
Base.Seasoning_Rosemary,
Base.Seasoning_Sage,
Base.Seasoning_Thyme,
Base.OatsRaw,
Base.Cereal,
Base.CocoaPowder,
Base.Coffee2,
Base.JamFruit,
Base.PeanutButter,
Base.TortillaChips,
Base.Crisps,
Base.Crisps2,
Base.Crisps3,
Base.Crisps4,
Base.CatFoodBag,
Base.DogFoodBag,
Base.Ramen,
Base.Macaroni,
Base.Pasta,
Base.Rice,
Base.TomatoPaste,
filcher.Macaroni,
filcher.SFBeans,
filcher.BreadPieces,
filcher.SFHazelnutCream,
filcher.Cinnamon,
filcher.SFPaprika,
filcher.SFCurry